URL	Title	Year	Month	Subcategory	Type	Has FB	Backed Projects	Previous Projects	Creator Desc Len	Title Len	Goal	Duration	Pledge Levels	Min Pledge Tiers	Max Pledge Tiers	Proj Desc Len	Images	Videos	Has Video	Funded
s	s	s	d	d	d	d	c	c	c	c	c	c	c	c	c	c	c	c	c	d
meta	meta	meta	meta	ignore																class
https://www.kickstarter.com/projects/mischaa/pixelstart-choose-your-own-pixels	Pixelstart: Choose Your Own Pixels (Canceled)	2016	Apr	Digital Art	Art	1	11	2	125	57	2829.59	53	7	1.14	171	2001	2	1	1	no
https://www.kickstarter.com/projects/1055874454/smart-shop-icons	Smart shop Icons (Canceled)	2016	Apr	Digital Art	Art	1	0	0	111	27	28295.87	51	3	1.14	46	2508	0	0	0	no
https://www.kickstarter.com/projects/minimalprints/minimal-haus-prints-digital-prints-for-diy-wall-ar	Minimal Haus Prints: Digital Prints for DIY Wall ART	2016	Apr	Digital Art	Art	0	4	0	294	52	766.25	30	8	1.51	755	2325	1	1	1	no
https://www.kickstarter.com/projects/797661619/neon-altering-the-alternative	NeoN: Altering the Alternative (Canceled)	2016	Mar	Digital Art	Art	0	0	0	179	41	1439.1	24	5	7	141	3736	13	1	1	no
https://www.kickstarter.com/projects/1983693599/nintendo-nes-8bit-retro-canvas	Nintendo NES 8bit retro canvas (Canceled)	2016	Mar	Digital Art	Art	0	0	0	51	41	1000	30	2	5	20	636	0	0	0	no
https://www.kickstarter.com/projects/463662725/day-and-night-cards	Day and Night Cards (Canceled)	2016	Mar	Digital Art	Art	0	0	0	162	30	800	28	1	10	10	1199	0	0	0	no
https://www.kickstarter.com/projects/jforwoodart/fund-an-art-show-and-beyond-for-jeff-forwood	Fund an Art Show and Beyond For Jeff Forwood (Canceled)	2016	Feb	Digital Art	Art	1	2	0	110	55	2000	50	9	5	500	2384	11	0	0	no
https://www.kickstarter.com/projects/109608826/trump-that-t-are-hilarious-creative-and-beautiful	"Trump that T are hilarious	 creative	 and beautiful shirts"	2016	Mar	Digital Art	Art	1	1	0	12	58	1000	30	3	1	30	1603	1	1	1	no
